"","pedon","orig_horizon","subdivision","horizon","top cm","base cm","thick","major_color","hue","value","chroma","minor_color","depletion","concentration","texture_modifier","texture_base","structure","consistence","boundary","frags","roots","sample collected","elemental","newname","Si","Al","Fe","Mn","Mg","Ca","Na","K","Ti","P","Ba","Sr","Y","Zr","Co","Ga","Rb","Sn","Cs","La","Ce","Pr","Nd","Sm","Eu","Gd","Dy","Er","Yb","Lu","Th","U"
"42","52_3_PFM","Oa",NA,"Oa",16.5,23,6.5,"7.5YR3/1","7.5YR",3,1,"0",NA,NA,NA,NA,"1mgr",NA,"as",0,"c","Y","Y","52_3_PFM_Oa",182907.9857969,35883.9085464,13568.9567634,356.25244916,1386.9963286,3502.0097385,6231.659112,11954.163168,2936.8096149,1658.4290866,256,53,19,166,14,10,55,7,5.5,20.4,40.8,4.62,17.8,3.7,0.58,2.9,3.3,2.1,2.2,0.35,6,2.5
"43","52_3_PFM","Bhs1",NA,"Bhs1",23,33,10,"7.5YR3/1","7.5YR",3,1,"7.5YR2.5/1",NA,NA,"gr","sl","2msbk","fr","cw",20,"f","Y","Y","52_3_PFM_Bhs1",293176.3063936,46892.5412568,16786.338264,526.63405528,1869.4298342,4431.114363,8902.37016,18346.319862,4291.33813116,1091.0717675,374,72,29,292,37,14,87,5,8.7,27,54.1,6.33,22.5,5.1,0.79,4.3,5.1,3.3,3.3,0.52,8.6,3.2
"44","52_3_PFM","Bhs2",NA,"Bhs2",33,48,15,"7.5YR3/2","7.5YR",3,2,"0",NA,NA,"vgr","sl","1msbk","fr",NA,50,NA,"Y","Y","52_3_PFM_Bhs2",355579.1075791,49591.7733156,25109.5643199,1053.26811056,2954.9052218,7504.3065825,12166.572552,21168.83061,4207.42928502,567.3573191,404,81,54,383,29,14,95,5,5.1,37.3,74.8,8.4,32,6.5,0.92,6.3,8.4,5.9,6.3,1.01,11.4,3.5
"45","52_3_X3.1","Oa",NA,"Oa",4,9,5,"10YR2.5/1","10YR",2.5,1,"0",NA,NA,NA,NA,"1mgr","vfr","cs",0,"c","Y","Y","52_3_X3.1_Oa",295092.7969169,40911.8898324,9722.0875779,317.52935686,964.8670112,3930.8272575,9199.115832,19342.500126,2942.80310391,698.2859312,344,62,24,242,14,11,83,6,3.8,27,55.5,6.4,24.3,4.8,0.63,4,4.1,2.5,2.5,0.38,10.4,2.6
"46","52_3_X3.1","E",NA,"E",9,15,6,"5YR4/1","5YR",4,1,"0",NA,NA,NA,"ls","2msbk","vfr","as",5,NA,"Y","Y","52_3_X3.1_E",370677.313409,48639.1031772,13499.0136873,410.46477838,964.8670112,4574.053536,11127.9627,23244.20616,3955.7027466,349.1429656,411,72,38,368,21,13,101,4,4.9,40.4,83.8,9.53,35.1,7.3,0.76,6,6.3,4,4,0.64,14.8,3.4
"47","52_3_X3.1","Bhs1",NA,"Bhs1",15,20,5,"7.5YR2.5/1","7.5YR",2.5,1,"10YR2.5/1",NA,NA,NA,"sl","2msbk","fr","cs",5,"f","Y","Y","52_3_X3.1_Bhs1",265878.0023544,43346.4912972,38468.691855,402.72015992,1809.125646,4574.053536,8160.50598,15108.734004,4381.24046631,741.9288019,304,58,26,215,26,24,70,4,4.6,23.4,50.9,5.33,20.3,4.3,0.65,4,4.6,3,3.2,0.51,8.9,3
"48","52_3_X3.1","Bhs2",1,"Bhs2.1",20,28,8,"7.5YR2.5/2","7.5YR",2.5,2,"0",NA,NA,NA,"sl","2msbk","fr","aw",10,"f","Y","Y","52_3_X3.1_Bhs2.1",274338.6068597,44881.3487424,38258.8626267,433.69863376,1869.4298342,4931.4014685,8976.556578,15191.749026,3632.05434006,741.9288019,311,64,28,260,44,20,69,4,4.4,35.2,78,8.52,31.1,8.2,0.75,6,5.2,3,3,0.49,18.1,3.2
"49","52_3_X3.1","Bhs2",2,"Bhs2.2",28,36,8,"7.5YR2.5/2","7.5YR",2.5,2,"0",NA,NA,NA,"sl","2msbk","fr","aw",10,"f","Y","Y","52_3_X3.1_Bhs2.2",277189.970809,54090.4934136,35740.9118871,526.63405528,2834.2968454,6718.141131,11350.521954,15523.809114,3703.97620818,785.5716726,346,82,28,280,35,18,73,3,5.1,27.7,65.9,6.49,23.9,5.3,0.94,4.8,5.1,3.1,3.2,0.53,10.3,3.4
"50","52_3_X3.1","Bhs2",3,"Bhs2.3",36,46,10,"7.5YR2.5/2","7.5YR",2.5,2,"0",NA,NA,NA,"sl","2msbk","fr","aw",10,"f","Y","Y","52_3_X3.1_Bhs2.3",290137.9677591,62294.0418276,28816.5473532,565.35714758,3738.8596684,8147.532861,14317.978674,17350.139598,3476.2236258,872.857414,380,98,30,265,38,13,76,3,4.8,30,72.3,7.09,26.6,5.5,1.02,5.2,5.3,3.3,3.2,0.5,10.8,3.3
"51","52_3_X3.1","BC",1,"BC.1",46,55,9,"10YR4/4","10YR",4,4,"5YR2.5/2",NA,NA,NA,"ls","2msbk","fr",NA,15,NA,"Y","Y","52_3_X3.1_BC.1",323886.8984377,64834.49553,22241.8981998,534.37867374,3980.0764212,8719.289553,16395.198378,19425.515148,3242.47755441,698.2859312,401,111,31,287,22,13,89,3,5.3,32.2,80.4,7.55,28.1,6.1,1.08,5.5,5.4,3.3,3.3,0.55,11.1,3.5
