pedon,horizon,subdivision,top cm,base cm,thick,major_color,hue,value,chroma,minor_color,depletion,concentration,texture_modifier,texture_base,structure,consistence,boundary,frags,roots,sample collected,elemental
52_3_PFM,Oi,,0,9.5,9.5,5YR2.5/1,5YR,2.5,1,,,,,,,,,0,,?,
52_3_PFM,Oe,,9.5,16.5,7,5YR2.5/1,5YR,2.5,1,,,,,,,,,0,,?,
52_3_PFM,Oa,,16.5,23,6.5,7.5YR3/1,7.5YR,3,1,0,,,, ,1mgr, ,as,0,c,Y,Y
52_3_PFM,Bhs1,,23,33,10,7.5YR3/1,7.5YR,3,1,7.5YR2.5/1,,,gr,sl,2msbk,fr,cw,20,f,Y,Y
52_3_PFM,Bhs2,,33,48,15,7.5YR3/2,7.5YR,3,2,0,,,vgr,sl,1msbk,fr, ,50, ,Y,Y
52_3_PFM,R,,48,48,0,,,,,,,,,,,,,,,N,
52_3_X3.1,Oi,,0,2,2,5YR2.5/1,5YR,2.5,1,,,,, , , , ,0, ,Y,
52_3_X3.1,Oe,,2,4,2,5YR2.5/1,5YR,2.5,1,,,,, , , , ,0, ,Y,
52_3_X3.1,Oa,,4,9,5,10YR2.5/1,10YR,2.5,1,0,,,, ,1mgr,vfr,cs,0,c,Y,Y
52_3_X3.1,E,,9,15,6,5YR4/1,5YR,4,1,0,,,,ls,2msbk,vfr,as,5, ,Y,Y
52_3_X3.1,Bhs1,,15,20,5,7.5YR2.5/1,7.5YR,2.5,1,10YR2.5/1,,,,sl,2msbk,fr,cs,5,f,Y,Y
52_3_X3.1,Bhs2,1,20,28,8,7.5YR2.5/2,7.5YR,2.5,2,0,,,,sl,2msbk,fr,aw,10,f,Y,Y
52_3_X3.1,Bhs2,2,28,36,8,7.5YR2.5/2,7.5YR,2.5,2,0,,,,sl,2msbk,fr,aw,10,f,Y,Y
52_3_X3.1,Bhs2,3,36,46,10,7.5YR2.5/2,7.5YR,2.5,2,0,,,,sl,2msbk,fr,aw,10,f,Y,Y
52_3_X3.1,BC,,46,55,9,10YR4/4,10YR,4,4,5YR2.5/2,,,,ls,2msbk,fr, ,15, ,Y,Y
