ID,Pedon,Horizon,R,Acquisition Time,QC Status,Dataset File,Method File,Y_mgL,Ca_mgL,P_mgL,K_mgL,Mg_mgL,Na_mgL,Al_mgL,Fe_mgL,Mn_mgL,Extraction Lab,Ca_mgKg,Ca_cmolKg,Na_mgKg,Na_cmolKg,Mg_mgKg,Mg_cmolKg,K_mgKg,K_cmolKg,Al_mgKg,Al_cmolKg,P_mgKg,Fe_mgKg,Mn_mgKg,CEC_cmolKg
42,86_4_PFM,BC,NA,6/3/21 16:37,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.683728233,2.477728491,0.262703806,1.675920935,0.369370915,0.623485416,87.70985238,1.858140023,0.0653279,VT,12.38864245,0.061819573,3.117427079,0.013559926,1.846854577,0.015200449,8.379604673,0.021431214,438.5492619,4.876381712,1.313519032,9.290700115,0.326639498,0.112011163
44,86_5_W5.1,Oa1,NA,6/3/21 16:44,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.637690819,23.15992637,3.109082743,41.1794988,7.823077232,2.835577294,130.002373,0.828377354,4.461461849,VT,115.7996319,0.577842474,14.17788647,0.061669798,39.11538616,0.321937335,205.897494,0.526592056,650.0118652,7.227707916,15.54541372,4.141886772,22.30730924,1.488041663
45,86_5_W5.1,Bhs,NA,6/3/21 16:48,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.785564406,5.815715281,0.806715477,4.631390801,1.428241409,0.744151666,64.09485199,1.704710157,0.323090843,VT,29.0785764,0.145102677,3.720758331,0.016184247,7.141207045,0.058775367,23.156954,0.059224946,320.4742599,3.563464714,4.033577385,8.523550784,1.615454214,0.279287236
46,86_5_W5.1,Bh1,NA,6/3/21 16:51,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.65350609,5.506974742,0.555016715,3.502323927,0.983158718,0.613461543,60.36312832,2.12576972,1.212620146,VT,27.53487371,0.137399569,3.067307717,0.013341921,4.915793591,0.040459207,17.51161964,0.044786751,301.8156416,3.35599305,2.775083575,10.6288486,6.063100729,0.235987448
47,86_5_W5.1,Bh2,NA,6/3/21 16:55,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.776504576,2.693048955,0.232841879,1.774374549,0.301171671,0.379062969,33.13682127,1.648204765,0.465188947,VT,13.46524478,0.06719184,1.895314844,0.008244084,1.505858353,0.012393896,8.871872743,0.022690212,165.6841063,1.842299181,1.164209396,8.241023825,2.325944737,0.110520031
48,52_3_X3.1,Oa,NA,6/3/21 16:58,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.660887991,7.062599978,2.537784811,11.22422647,3.337819433,0.565122752,6.893336526,1.732559506,1.164196404,VT,35.31299989,0.176212574,2.825613761,0.012290621,16.68909716,0.137358824,56.12113236,0.143532308,34.46668263,0.383247027,12.68892406,8.662797529,5.820982019,0.469394328
49,52_3_X3.1,E,NA,6/3/21 17:05,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.774336163,0.747519102,0.525556816,1.805279954,0.527013649,0.224055265,9.015906412,2.118297286,0.085126493,VT,3.737595511,0.018650676,1.120276325,0.004872885,2.635068246,0.021687804,9.02639977,0.023085421,45.07953206,0.50125499,2.627784081,10.59148643,0.425632465,0.068296787
50,52_3_X3.1,Bhs1,NA,6/3/21 17:09,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.761553508,1.734567292,0.950216166,6.069550688,1.747847669,0.473167133,46.20473505,26.13525775,0.259720192,VT,8.672836462,0.043277627,2.365835666,0.010290716,8.739238343,0.071927888,30.34775344,0.077615738,231.0236752,2.568832564,4.751080831,130.6762887,1.298600961,0.203111969
51,52_3_X3.1,Bhs2.1,NA,6/3/21 17:12,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.935718797,1.412737822,0.249786914,4.048888662,1.175219994,0.577136051,43.73829991,13.4025251,0.299965543,VT,7.06368911,0.03524795,2.885680257,0.012551893,5.876099972,0.048362963,20.24444331,0.05177607,218.6914995,2.431706815,1.24893457,67.01262551,1.499827714,0.147938875
52,52_3_X3.1,Bhs2.2,NA,6/3/21 17:16,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.723847505,0.924656616,0.261333004,2.629011274,0.631968413,0.567881193,41.47216168,5.459818997,0.18446113,VT,4.623283078,0.023070275,2.839405963,0.012350613,3.159842066,0.026006931,13.14505637,0.03361907,207.3608084,2.305716921,1.306665018,27.29909498,0.922305649,0.095046889
53,52_3_X3.1,Bhs2.3,NA,6/3/21 17:20,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.68683864,1.020486612,0.300726209,1.668810821,0.361591265,0.333783516,68.76138858,2.846010407,0.189464872,VT,5.102433062,0.025461243,1.66891758,0.00725932,1.807956327,0.014880299,8.344054104,0.021340292,343.8069429,3.822908928,1.503631045,14.23005204,0.94732436,0.068941153
