"","Lab_id","pedon","horizon","Mn_mgL","Fe_mgL","Ca_mgL","K_mgL","Na_mgL","Mg_mgL","P_mgL","S_mgL","Ca_mgKg","Na_mgKg","Mg_mgKg","K_mgKg","P_mgKg"
"84","84","86_4_W4.1","D2",-99.99,4.296,1.463,0.862,0.123,-99.99,1.009,1.605,14.63,1.23,-999.9,8.62,10.09
"85","85","86_4_W4.1","D4",-99.99,3.909,0.697,0.979,0.086,-99.99,0.964,1.137,6.97,0.86,-999.9,9.79,9.64
"86","Blank",NA,NA,-99.99,-99.99,0.084,-99.99,-99.99,-99.99,0.3,0.336,0.84,-999.9,-999.9,-999.9,3
"87","87","42_4_V4.1","Oa",5.051,1.125,50.172,17.434,0.533,13.852,10.639,8.429,501.72,5.33,138.52,174.34,106.39
"88","88","42_4_V4.1","E",-99.99,1.124,2.037,1.358,0.171,-99.99,0.838,0.904,20.37,1.71,-999.9,13.58,8.38
"89","89","42_4_V4.1","Bhs1",-99.99,14.509,2.99,2.505,0.232,-99.99,1.101,1.454,29.9,2.32,-999.9,25.05,11.01
"90","90","42_4_V4.1","Bhs2.1",-99.99,15.774,2.869,2.694,0.322,-99.99,1.069,1.564,28.69,3.22,-999.9,26.94,10.69
"91","91","42_4_V4.1","Bhs2.2",-99.99,11.94,2.608,2.105,0.163,-99.99,0.881,1.387,26.08,1.63,-999.9,21.05,8.81
"92","92","42_4_V4.1","Bh1",-99.99,4.556,1.714,1.147,-99.99,-99.99,0.854,1.597,17.14,-999.9,-999.9,11.47,8.54
"93","93","42_4_V4.1","Bh2",-99.99,1.787,1.023,0.388,-99.99,-99.99,0.753,1.463,10.23,-999.9,-999.9,3.88,7.53
"94","94","42_4_V4.1","BC",-99.99,0.908,0.7,0.245,-99.99,-99.99,0.733,1.324,7,-999.9,-999.9,2.45,7.33
"95","95","42_4_V4.1","Cd",-99.99,0.528,0.369,0.352,0.128,-99.99,0.497,0.671,3.69,1.28,-999.9,3.52,4.97
"96","96","42_4_V4.1","D4",-99.99,1.852,0.76,1.696,0.298,-99.99,0.596,0.587,7.6,2.98,-999.9,16.96,5.96
"97","Blank",NA,NA,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.303,0.316,-999.9,-999.9,-999.9,-999.9,3.03
"98","98","52_4_X4.1","Oa",-99.99,1.259,3.312,8.793,0.945,0.644,2.293,2.709,33.12,9.45,6.44,87.93,22.93
"99","99","52_4_X4.1","E",-99.99,1.767,0.616,0.702,-99.99,-99.99,0.608,0.685,6.16,-999.9,-999.9,7.02,6.08
"100","100","52_4_X4.1","Bhs",-99.99,12.379,1.171,1.843,0.249,-99.99,0.59,1.414,11.71,2.49,-999.9,18.43,5.9
"101","101","52_4_X4.1","Bs1",-99.99,6.466,1.177,1.203,0.213,-99.99,0.435,1.373,11.77,2.13,-999.9,12.03,4.35
"102","102","52_4_X4.1","Bs2.1",-99.99,1.454,1.425,0.889,0.113,-99.99,0.61,1.506,14.25,1.13,-999.9,8.89,6.1
"103","103","52_4_X4.1","Bs2.2",-99.99,1.006,1.038,0.411,0.105,-99.99,0.529,1.503,10.38,1.05,-999.9,4.11,5.29
"104","104","52_4_X4.1","BC1",-99.99,0.646,0.609,-99.99,-99.99,-99.99,0.466,1.826,6.09,-999.9,-999.9,-999.9,4.66
"105","105","52_4_X4.1","BC2",-99.99,0.991,0.612,-99.99,-99.99,-99.99,0.508,1.967,6.12,-999.9,-999.9,-999.9,5.08
"106","106","52_4_X4.1","D3",-99.99,0.649,0.538,-99.99,-99.99,-99.99,0.357,0.797,5.38,-999.9,-999.9,-999.9,3.57
"107","107","52_4_X4.1","D4",-99.99,7.732,0.825,0.803,0.369,-99.99,0.613,0.887,8.25,3.69,-999.9,8.03,6.13
"108","Blank",NA,NA,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.295,0.309,-999.9,-999.9,-999.9,-999.9,2.95
"109","109","52_4_X4.1","D1",-99.99,0.652,0.475,-99.99,-99.99,-99.99,0.385,0.686,4.75,-999.9,-999.9,-999.9,3.85
"110","110","52_4_X4.1","D5",-99.99,0.534,0.548,0.182,-99.99,-99.99,0.408,0.589,5.48,-999.9,-999.9,1.82,4.08
"111","111","52_4_X4.1","D9",-99.99,0.475,17.827,1.651,0.808,2.543,0.449,0.954,178.27,8.08,25.43,16.51,4.49
"112","112","86_2_W2.1","E1",-99.99,2.452,2.475,2.056,4.07,-99.99,0.758,0.793,24.75,40.7,-999.9,20.56,7.58
"113","113","86_2_W2.1","E2",-99.99,2.65,4.009,6.943,6.365,2.208,0.726,0.95,40.09,63.65,22.08,69.43,7.26
"114","114","42_3_V3.1","Bhs1",-99.99,2.089,0.632,2.086,0.353,-99.99,0.547,0.682,6.32,3.53,-999.9,20.86,5.47
"115","115","42_3_V3.1","Bhs2.1",2.046,2.7,0.868,2.094,0.131,-99.99,2.536,3.041,8.68,1.31,-999.9,20.94,25.36
"116","116","42_3_V3.1","Bhs2.2",1.845,1.967,1.061,1.55,0.191,-99.99,2.656,3.494,10.61,1.91,-999.9,15.5,26.56
"117","Blank",NA,NA,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.315,0.328,-999.9,-999.9,-999.9,-999.9,3.15
"118","118","42_3_V3.1","Bhs3.1",0.903,2.143,0.898,0.939,0.16,-99.99,2.437,3.548,8.98,1.6,-999.9,9.39,24.37
"119","119","42_3_V3.1","Bhs3.2",0.365,1.523,0.784,0.515,0.182,-99.99,1.987,2.529,7.84,1.82,-999.9,5.15,19.87
"120","120","42_3_V3.1","Bhs3.3",-99.99,1.62,0.657,0.207,-99.99,-99.99,2.06,1.803,6.57,-999.9,-999.9,2.07,20.6
