...1,Pedon,Horizon,R,Acquisition Time,QC Status,Dataset File,Method File,Y_mgL,Ca_mgL,P_mgL,K_mgL,Mg_mgL,Na_mgL,Al_mgL,Fe_mgL,Mn_mgL,Extraction Lab,Ca_mgKg,Ca_cmolKg,Na_mgKg,Na_cmolKg,Mg_mgKg,Mg_cmolKg,K_mgKg,K_cmolKg,Al_mgKg,Al_cmolKg,P_mgKg,CEC_cmolKg
34,86_4_PFM,Oa,NA,6/3/21 16:22,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.822508651,24.45931955,0.270548039,13.62944181,5.238123558,1.234368521,34.40555316,0.411855916,0.632411634,VT,244.5931955,1.220524928,12.34368521,0.053691541,52.38123558,0.43112128,136.2944181,0.348579074,344.0555316,3.825673072,2.705480387,2.053916824
35,86_4_PFM,E,NA,6/3/21 16:26,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.743102421,4.273102669,0.027216516,2.052388063,0.719093679,0.178386257,4.407661451,0.428112227,0.088327494,VT,42.73102669,0.213228676,1.783862574,0.007759298,7.19093679,0.059184665,20.52388063,0.052490743,44.07661451,0.490103201,0.272165156,0.332663382
36,86_4_PFM,Bhs,NA,6/3/21 16:29,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.790495958,7.846339968,0.552101688,4.662651888,1.784488182,0.423247735,31.79953296,38.15615766,0.155170557,VT,78.46339968,0.391533931,4.232477348,0.01841008,17.84488182,0.146871455,46.62651888,0.119249409,317.9953296,3.535900625,5.52101688,0.676064875
37,86_4_PFM,Bs,NA,6/3/21 16:33,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.57719587,2.414598082,0.051503486,1.671957842,0.521845304,0.266827858,82.88186756,3.385595941,0.051689945,VT,24.14598082,0.120488926,2.668278584,0.011606257,5.218453037,0.042950231,16.71957842,0.04276107,828.8186756,9.215923006,0.515034858,0.217806485
38,86_4_PFM,BC,NA,6/3/21 16:37,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.683728233,2.561496857,0.069551681,2.241232767,0.502074363,0.563934722,88.97210265,1.860727957,0.061734496,VT,25.61496857,0.127819204,5.639347218,0.024529566,5.020743625,0.041322993,22.41232767,0.057320531,889.7210265,9.893117418,0.695516811,0.250992294
40,86_5_W5.1,Oa1,NA,6/3/21 16:44,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.637690819,23.24369474,2.915930618,41.74481063,7.955780679,2.7760266,131.2646233,0.830965289,4.457868445,VT,232.4369474,1.159865007,27.760266,0.120749308,79.55780679,0.654796764,417.4481063,1.067642216,1312.646233,14.59576983,29.15930618,3.003053295
41,86_5_W5.1,Bhs,NA,6/3/21 16:48,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.785564406,5.899483647,0.613563352,5.196702634,1.560944856,0.684600972,65.35710225,1.707298091,0.31949744,VT,58.99483647,0.294385412,6.846009723,0.029778207,15.60944856,0.128472828,51.96702634,0.132907996,653.5710225,7.267283423,6.135633517,0.585544442
42,86_5_W5.1,Bh1,NA,6/3/21 16:51,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.65350609,5.590743109,0.36186459,4.06763576,1.115862165,0.553910849,61.62537859,2.128357655,1.209026743,VT,55.90743109,0.278979197,5.539108494,0.024093556,11.15862165,0.091840507,40.6763576,0.104031605,616.2537859,6.852340095,3.618645897,0.498944865
43,86_5_W5.1,Bh2,NA,6/3/21 16:55,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.776504576,2.776817322,0.039689754,2.339686382,0.433875118,0.319512275,34.39907153,1.650792699,0.461595544,VT,27.76817322,0.138563739,3.195122747,0.013897881,4.338751178,0.035709886,23.39686382,0.059838526,343.9907153,3.824952357,0.396897539,0.248010032
44,52_3_X3.1,Oa,NA,6/3/21 16:58,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.660887991,7.146368345,2.344632686,11.78953831,3.47052288,0.505572058,8.155586792,1.73514744,1.160603001,VT,71.46368345,0.356605207,5.055720581,0.021990955,34.7052288,0.285639743,117.8953831,0.301522719,81.55586792,0.906848049,23.44632686,0.965758624
