,Name,Si,Al,Fe,Mn,Mg,Ca,Na,K,Ti,P,Ba,Sr,Y,Zr,Co,Ga,Rb,Sn,Cs,La,Ce,Pr,Nd,Sm,Eu,Gd,Dy,Er,Yb,Lu,Th,U
120,W3.2_RF6,334357.4808,76584.0939,23081.21511,363.9970676,4643.422491,7861.654515,16766.13047,45990.32219,2481.30445,916.5002847,402,107,21,122,6,20,227,4,6.7,44.5,95.8,11.2,41.6,9.5,1.27,7.8,5.3,2.2,2,0.31,20.4,6.1
121,W2.2_RF2,362543.9146,76742.87226,5315.673784,85.19080306,1266.387952,3144.661806,13353.55524,26232.74695,683.2577471,174.5714828,290,102,4,23,1,15,112,5,3.1,1.6,2.9,0.33,1,0.3,0.73,0.3,0.3,0.2,0.3,0.06,0.4,0.4
122,W2.2_RF4,320100.6611,76160.68495,47911.00713,844.1634121,9226.540795,6074.914853,11276.33554,34534.24915,5484.042444,305.5000949,466,72,31,273,10,24,277,10,27.7,50.1,106,12.5,48.2,9.3,1.12,7.8,6.5,3.3,3,0.44,17.4,4.8
123,W2.2_RF7,306171.047,77748.46852,49379.81173,720.2495168,13447.83397,5431.688574,11202.14912,30300.48303,6041.436922,174.5714828,387,95,36,218,10,26,191,6,13.4,57.9,118,14.1,53.5,10.1,1.53,8.6,7.5,4.3,3.7,0.56,19.3,4.3
124,W2.2_RF8,314865.3699,74202.41856,43924.25179,658.2925691,11337.18738,9576.924591,19511.02793,21915.96581,5328.21173,218.2143535,339,152,37,211,7,21,147,4,10.5,46.9,96.9,11.4,43.6,8.7,1.88,7.6,7.2,4.1,3.5,0.54,14.4,3.8
152,W2.2_RF5,321082.2782,77377.98569,42035.78874,635.0587137,7176.198396,7289.897823,12611.69106,30798.57316,4818.765164,305.5000949,332,80,26,228,8,26,200,4,25.5,49.5,103,12.3,48.3,9.4,1.26,8,6.3,3.4,3.1,0.52,16.1,3.6
153,W2.2_RF6,323092.256,72561.70887,41266.4149,503.4001999,10251.71199,9148.107072,17656.36748,21085.81559,5058.504724,218.2143535,326,143,33,211,6,23,149,5,11,48.1,98.2,11.8,45.7,9.4,1.99,8.6,7.6,4.2,3.6,0.54,13.9,3.4
154,W3.2_RF6,326971.9807,74625.82751,24899.73509,294.2955015,4281.597362,5931.97568,14317.97867,43499.87153,2421.36956,916.5002847,421,106,22,129,5,21,191,5,3.6,47.2,101,12,45.3,10.4,1.32,8.8,5.7,2.5,2.2,0.33,20.1,5.2
155,W3.2_RF7,319446.2497,87169.31766,20213.54899,449.1878707,3377.034539,7718.715342,24184.77227,53710.71923,1468.404807,741.9288019,579,89,23,125,3,21,314,12,20.6,26.2,56.8,6.81,25.6,5.7,1.09,5.9,5.3,2.6,2.4,0.35,13.5,3
156,V4.1_RF9,340480.9017,74361.19691,15667.24905,271.0616461,2050.342399,5860.506093,18843.35017,42752.73633,1276.613159,741.9288019,225,65,19,76,63,18,216,4,5.4,26,55.3,6.48,24.4,6.3,0.73,5.6,4.6,2.1,1.9,0.29,11.9,4.3
157,V4.1_RF10,344828.0632,71661.96486,13988.61522,216.8493169,1929.734022,4359.644777,13130.99599,49725.99818,1444.430851,436.428707,259,57,22,80,78,20,263,7,13.5,25,53.6,6.25,23.3,5.8,0.73,5.3,4.9,2.4,2.5,0.38,11.8,3.5
158,V4.1_RF11,330244.0377,68698.1022,38608.57801,627.3140953,6633.460702,5217.279815,10237.72568,33039.97876,4477.13629,567.3573191,284,60,33,234,8,27,257,8,16.7,50.5,108,12.5,49.3,10.3,1,8.6,7.6,4.2,4,0.62,16.3,2.8
159,X4.1_RF16,346417.348,65469.60896,18884.63055,317.5293569,1929.734022,6789.610718,21439.8748,36360.57964,1282.606648,130.9286121,283,52,29,87,2,19,250,8,22.1,20.9,47.6,5.1,19.4,4.5,0.58,4.4,5.5,3.3,3.4,0.53,10.6,2.3
160,X4.1_RF17,338143.7182,70656.3686,23221.10127,317.5293569,3497.642916,4288.17519,12685.87748,53129.61408,2295.506291,523.7144484,457,94,22,148,4,21,256,8,15.2,37.1,81.4,9.15,35,8.2,1,7,5.3,2.8,2.6,0.37,16.8,3
161,V2.1_RF10,319492.9933,76901.65062,46372.25945,758.9726091,8502.890536,11077.78591,14763.09718,33704.09893,5118.439615,1003.786026,495,104,34,257,9,24,197,6,12.5,46.7,98.3,11.8,45.6,9.5,1.49,8.3,7.4,4,3.9,0.57,14.1,3.2
162,V2.1_RF11,339031.8479,72561.70887,21892.18282,456.9324891,3377.034539,4216.705604,13501.92808,48646.80289,2067.753708,1091.071768,460,107,18,121,4,18,189,3,3.7,34.2,72.3,8.66,33,7.9,1.21,6.8,4.7,1.9,1.5,0.24,14.1,4.5
163,W4.1_RF5,311172.6198,81029.88788,46721.97483,697.0156614,7839.544466,10005.74211,18472.41808,34202.18906,4435.181867,872.857414,297,86,38,257,10,26,291,10,33.3,47.4,98.9,11.6,46.8,9.9,1.24,8.6,8.4,4.6,4.1,0.62,16.4,3.1
164,W4.1_RF13,348941.5063,72138.29992,14198.44445,216.8493169,1748.821458,13150.40392,25668.50063,22497.07096,994.9191757,436.428707,155,103,10,51,2,17,96,18,5.1,11.2,22.6,2.7,10.1,2.3,1.16,2.1,2.2,1.2,1.2,0.18,3.2,1.3
