pedon.x,orig_horizon,subdivision,horizon.x,top cm,base cm,thick,major_color,hue,value,chroma,minor_color,depletion,concentration,texture_modifier,texture_base,structure,consistence,boundary,frags,roots,sample collected,elemental,ID,pH,C_pct,N_pct,CNRatio,om_pct,om,bd,Ca_cmolKg,Na_cmolKg,Mg_cmolKg,K_cmolKg,Al_cmolKg,P_mgKg,Fe_mgKg,Mn_mgKg,CEC_cmolKg
42_3_V3.1,D,1,D.1,93,97,4,2.5Y5/3,2.5Y,5,3,0,NA,NA,vgr,ls,1mabk,vfr,cs,45,f,Y,NA,42_3_V3.1 D.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_3_V3.1,D,2,D.2,108,123,15,2.5Y5/3,2.5Y,5,3,0,NA,NA,NA,ls,NA,NA,NA,0,0,Y,Y,42_3_V3.1 D.2,4.33,0.4017,0.01271,31.61026,0.69252,0.00693,1.33821,0.008,0.004,0.003,0.019,1.026,0.591,4.191,0.687,0.034
42_3_V3.1,D,3,D.3,126,138,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,42_3_V3.1 D.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_3_V3.1,D,4,D.4,186,225,39,NA,NA,NA,NA,NA,NA,NA,NA,s,NA,NA,NA,NA,NA,Y,NA,42_3_V3.1 D.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_3_V3.1,D,5,D.5,225,230,5,2.5Y6/2,2.5Y,6,2,0,NA,NA,NA,s,NA,NA,NA,NA,NA,Y,NA,42_3_V3.1 D.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_3_V3.1,D,6,D.6,235,240,5,2.5Y5/2,2.5Y,5,2,0,NA,NA,NA,fs,NA,NA,NA,NA,NA,Y,NA,42_3_V3.1 D.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_3_V3.1,D,7,D.7,245,250,5,2.5Y5/2,2.5Y,5,2,0,NA,NA,NA,fsl,NA,NA,NA,NA,NA,Y,NA,42_3_V3.1 D.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_3_V3.1,D,8,D.8,255,260,5,2.5Y5/2,2.5Y,5,2,0,NA,NA,NA,fsl,NA,NA,NA,NA,NA,Y,NA,42_3_V3.1 D.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_3_V3.1,D,9,D.9,260,267,7,2.5Y5/2,2.5Y,5,2,0,NA,NA,NA,fsl,NA,NA,NA,NA,NA,Y,NA,42_3_V3.1 D.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_3_V3.1,D,10,D.10,270,275,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,42_3_V3.1 D.10,NA,0.21102,0.00957,22.04999,0.3638,0.00364,1.38904,0.023,0.021,0.036,0.069,1.01,2.278,8.623,4.848,0.148
42_3_V3.2,Oi,NA,Oi,0,1,1,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,42_3_V3.2 Oi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
