ID,Pedon,Horizon,R,Acquisition Time,QC Status,Dataset File,Method File,Y_mgL,Ca_mgL,P_mgL,K_mgL,Mg_mgL,Na_mgL,Al_mgL,Fe_mgL,Mn_mgL,Extraction Lab,Ca_mgKg,Ca_cmolKg,Na_mgKg,Na_cmolKg,Mg_mgKg,Mg_cmolKg,K_mgKg,K_cmolKg,Al_mgKg,Al_cmolKg,P_mgKg,Fe_mgKg,Mn_mgKg,CEC_cmolKg
39,86_4_PFM,E,NA,6/3/21 16:26,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.743102421,4.189334302,0.220368641,2.052388063,0.586390232,0.237936951,3.145411185,0.425524293,0.091920897,VT,41.89334302,0.209048618,2.379369514,0.010349585,5.863902318,0.048262571,20.52388063,0.052490743,31.45411185,0.349749205,2.20368641,4.255242927,0.919208969,0.320151516
40,86_4_PFM,Bhs,NA,6/3/21 16:29,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.790495958,7.762571601,0.745253813,4.662651888,1.651784735,0.482798429,30.53728269,38.15356973,0.15876396,VT,77.62571601,0.387353872,4.827984289,0.021000367,16.51784735,0.135949361,46.62651888,0.119249409,305.3728269,3.39554663,7.452538134,381.5356973,1.5876396,0.663553009
41,86_4_PFM,Bs,NA,6/3/21 16:33,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.57719587,2.330829715,0.244655611,1.671957842,0.389141856,0.326378552,81.6196173,3.383008007,0.055283349,VT,23.30829715,0.116308868,3.263785524,0.014196544,3.891418565,0.032028136,16.71957842,0.04276107,816.196173,9.07556901,2.446556112,33.83008007,0.552833486,0.205294619
42,86_4_PFM,BC,NA,6/3/21 16:37,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.683728233,2.477728491,0.262703806,2.241232767,0.369370915,0.623485416,87.70985238,1.858140023,0.0653279,VT,24.77728491,0.123639146,6.234854158,0.027119853,3.693709154,0.030400898,22.41232767,0.057320531,877.0985238,9.752763423,2.627038064,18.58140023,0.653278996,0.238480429
44,86_5_W5.1,Oa1,NA,6/3/21 16:44,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.637690819,23.15992637,3.109082743,41.74481063,7.823077232,2.835577294,130.002373,0.828377354,4.461461849,VT,231.5992637,1.155684949,28.35577294,0.123339595,78.23077232,0.643874669,417.4481063,1.067642216,1300.02373,14.45541583,31.09082743,8.283773545,44.61461849,2.990541429
45,86_5_W5.1,Bhs,NA,6/3/21 16:48,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.785564406,5.815715281,0.806715477,5.196702634,1.428241409,0.744151666,64.09485199,1.704710157,0.323090843,VT,58.15715281,0.290205353,7.441516663,0.032368494,14.28241409,0.117550733,51.96702634,0.132907996,640.9485199,7.126929428,8.067154771,17.04710157,3.230908428,0.573032576
46,86_5_W5.1,Bh1,NA,6/3/21 16:51,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.65350609,5.506974742,0.555016715,4.06763576,0.983158718,0.613461543,60.36312832,2.12576972,1.212620146,VT,55.06974742,0.274799139,6.134615434,0.026683843,9.831587183,0.080918413,40.6763576,0.104031605,603.6312832,6.711986099,5.55016715,21.2576972,12.12620146,0.486433
47,86_5_W5.1,Bh2,NA,6/3/21 16:55,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.776504576,2.693048955,0.232841879,2.339686382,0.301171671,0.379062969,33.13682127,1.648204765,0.465188947,VT,26.93048955,0.13438368,3.790629687,0.016488167,3.011716707,0.024787792,23.39686382,0.059838526,331.3682127,3.684598362,2.328418793,16.48204765,4.651889473,0.235498166
48,52_3_X3.1,Oa,NA,6/3/21 16:58,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.660887991,7.062599978,2.537784811,11.78953831,3.337819433,0.565122752,6.893336526,1.732559506,1.164196404,VT,70.62599978,0.352425149,5.651227521,0.024581242,33.37819433,0.274717649,117.8953831,0.301522719,68.93336526,0.766494054,25.37784811,17.32559506,11.64196404,0.953246758
49,52_3_X3.1,E,NA,6/3/21 17:05,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.774336163,0.747519102,0.525556816,2.370591787,0.527013649,0.224055265,9.015906412,2.118297286,0.085126493,VT,7.475191022,0.037301352,2.240552649,0.009745771,5.270136491,0.043375609,23.70591787,0.060628946,90.15906412,1.002509979,5.255568162,21.18297286,0.851264929,0.151051678
50,52_3_X3.1,Bhs1,NA,6/3/21 17:09,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.761553508,1.734567292,0.950216166,6.634862521,1.747847669,0.473167133,46.20473505,26.13525775,0.259720192,VT,17.34567292,0.086555254,4.731671333,0.020581433,17.47847669,0.143855775,66.34862521,0.169689579,462.0473505,5.137665128,9.502161663,261.3525775,2.597201922,0.42068204
51,52_3_X3.1,Bhs2.1,NA,6/3/21 17:12,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.935718797,1.412737822,0.249786914,4.614200495,1.175219994,0.577136051,43.73829991,13.4025251,0.299965543,VT,14.12737822,0.070495899,5.771360514,0.025103786,11.75219994,0.096725925,46.14200495,0.118010243,437.3829991,4.86341363,2.49786914,134.025251,2.999655427,0.310335854
52,52_3_X3.1,Bhs2.2,NA,6/3/21 17:16,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.723847505,0.924656616,0.261333004,3.194323107,0.631968413,0.567881193,41.47216168,5.459818997,0.18446113,VT,9.246566156,0.04614055,5.678811925,0.024701226,6.319684133,0.052013861,31.94323107,0.081696243,414.7216168,4.611433842,2.613330035,54.59818997,1.844611297,0.20455188
53,52_3_X3.1,Bhs2.3,NA,6/3/21 17:20,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.68683864,1.020486612,0.300726209,2.234122654,0.361591265,0.333783516,68.76138858,2.846010407,0.189464872,VT,10.20486612,0.050922486,3.33783516,0.014518639,3.615912654,0.029760598,22.34122654,0.057138687,687.6138858,7.645817855,3.007262091,28.46010407,1.89464872,0.15234041
55,52_3_X3.1,BC.1,NA,6/3/21 17:27,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.849406334,0.594039034,0.172974174,1.175763584,0.088612238,0.202557567,52.37610694,0.797977866,0.021414185,VT,5.940390338,0.029642666,2.025575666,0.008810681,0.886122376,0.007293188,11.75763584,0.03007068,523.7610694,5.823881424,1.729741737,7.979778656,0.214141846,0.075817216
56,52_3_X3.1,BC.2,NA,6/3/21 17:31,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.676039343,0.345093054,0.152086614,0.919282113,0.033012545,0.123084343,39.00627216,0.552254688,0.011845959,VT,3.450930538,0.017220212,1.230843429,0.005353821,0.330125451,0.002717082,9.192821134,0.023511051,390.0627216,4.337243013,1.52086614,5.522546879,0.118459592,0.048802167
