hid,mean_CaCl2_P,mean_M3_P,mean_MM_P,mean_MM_Ca,mean_MM_K,mean_MM_Mg,mean_MM_Na,mean_MM_Fe,mean_MM_Al,mean_MM_Mn,MM_solution,MM_soil,MM_Ca_mgkg,MM_Ca_cmolkg,MM_Na_mgkg,MM_Na_cmolkg,MM_Mg_mgkg,MM_Mg_cmolkg,MM_K_mgKg,MM_K_cmolkg,MM_Al_mgkg,MM_Al_cmolkg,MM_P_mgkg,M3_P_mgkg,CaCl2_P_mgkg,MM_Fe_mgKg,MM_Mn_mgKg,CEC_cmolkg
WBD1Cd,0.023411651392684554,1.1138637936900126,0.2146132809466858,3.1464325272334466,1.8336446158019983,0.2146132809466858,0.8100355492946458,1.3350504630324092,75.48769091840245,0.07247654374586676,18,4,14.15894637255051,0.0706534250127271,3.6451599718259065,0.015855415275449793,0.9657597642600861,0.007948640035062437,8.251400771108992,0.021103326780329904,339.694609132811,3.777182458852606,0.9657597642600861,11.138637936900126,0.23411651392684557,6.007727083645841,0.3261444468564005,0.11556080710356924
WBD1E,0.27042933010769876,0.3371543672608013,0.42065926708263857,4.075278661172941,1.2179605452300541,0.42065926708263857,1.1023914458650257,4.603350149403062,36.966871087796974,0.0437444415176524,18,4,18.33875397527824,0.09151074837963194,4.960761506392616,0.021577909988658616,1.8929667018718734,0.015579972854912538,5.480822453535244,0.014017448730269166,166.35091989508638,1.849713712695549,1.8929667018718734,3.371543672608013,2.7042933010769876,20.71507567231378,0.19684998682943583,0.14268607995347227
WBD1Oa1.1,0.11413524596593011,1.0889481809886172,1.5992072773871617,13.09902419415417,7.133270327110511,1.5992072773871617,1.8353533249923522,32.78913462316038,41.05661541030149,0.319930473597223,18,4,58.945608873693764,0.29413976483879123,8.259089962465584,0.035924706230820294,7.196432748242228,0.05922989916248748,32.0997164719973,0.08209646156521047,184.7547693463567,2.054352513117384,7.196432748242228,10.889481809886174,1.1413524596593012,147.55110580422172,1.4396871311875035,0.47139083179730945
WBD1Oa1.2,0.10891502931877414,0.41546834640019836,0.6944171685957928,4.206743489909252,4.723687036548004,0.6944171685957928,1.6417671460285752,46.66516969224545,45.782490624494486,0.04709044148463612,18,4,18.930345704591634,0.09446280291712392,7.387952157128589,0.03213550307580944,3.124877258681068,0.02571915439243677,21.256591664466015,0.0543646845638517,206.02120781022518,2.2908214359921257,3.124877258681068,4.154683464001984,1.0891502931877415,209.99326361510452,0.21190698668086258,0.20668214494922182
WBD1Oa2,0.5282673922095988,1.244444604771808,1.5247134302844856,7.863361508173867,12.729355496949744,1.5247134302844856,1.9309520488150378,11.910854027019024,30.663944696553518,0.06628238405861608,18,4,35.3851267867824,0.17657248895600003,8.68928421966767,0.03779592962012906,6.861210436280185,0.05647086778831428,57.28209973627385,0.14650153385236278,137.98775113449082,1.5343337783672069,6.861210436280185,12.444446047718081,5.282673922095988,53.59884312158561,0.2982707282637724,0.41734082021680613
WBD21C,0.057910670111395626,3.366612391302308,0.20997850606956805,4.91856234544557,1.0005702944399875,0.20997850606956805,0.9400125815146614,0.6586477191501772,22.65056576451596,0.259994069965224,18,4,22.133530554505064,0.1104467592540173,4.230056616815976,0.018399550312379193,0.9449032773130562,0.007776981706280298,4.502566324979943,0.011515514897646913,101.92754594032183,1.1333678199442754,0.9449032773130562,33.66612391302308,0.5791067011139562,2.963914736175797,1.169973314843508,0.1481388061703237
WBD22C,0.06869238226974465,2.9854312707822155,0.24509295090932418,4.184207513089815,0.8858511613386828,0.24509295090932418,0.9268310149591324,0.6112500364361557,10.898002300977732,0.22278921062428042,18,4,18.828933808904168,0.09395675553345394,4.170739567316096,0.018141537917860356,1.1029182790919587,0.00907751670034534,3.9863302260240725,0.010195217969371029,49.041010354399795,0.545304043970346,1.1029182790919587,29.854312707822153,0.6869238226974466,2.7506251639627006,1.0025514478092619,0.13137102812103066
WBD2A,0.14311999510402573,1.303420997654554,1.2428724510407667,48.22376488837537,11.843469555875249,1.2428724510407667,2.791939431187044,6.874903958765346,62.07573444168614,2.5223327411504948,18,4,217.00694199768918,1.0828689720443572,12.563727440341697,0.05464866220244323,5.592926029683451,0.04603231300150988,53.29561300143862,0.13630591560470234,279.3408049875876,3.106087527660351,5.592926029683451,13.03420997654554,1.4311999510402573,30.937067814444056,11.350497335177227,1.3198558628530126
WBD2BC1,0.022032664625714873,0.5225125874003238,0.2269827468695809,6.736889742386067,1.4344462073676125,0.2269827468695809,1.4151476701045507,0.894897370383729,64.78888311180353,0.07896892327583198,18,4,30.316003840737302,0.15127746427513625,6.368164515470478,0.027699715160811128,1.0214223609131141,0.0084067684025770709,6.455007933154256,0.01650897169604669,291.5499740031159,3.241845522643987,1.0214223609131141,5.225125874003238,0.22032664625714876,4.02703816672678,0.3553601547412439,0.20389291953457114
WBD2BC2,0.0320233769778582,1.1041857289738286,0.23847866432625853,5.048230864476915,1.4350250191791387,0.23847866432625853,1.3541132753112497,0.9694250524570747,49.78130156175511,0.14949384068870852,18,4,22.717038890146117,0.1133584774957391,6.093509738900623,0.026505044536322853,1.0731539894681634,0.008832543123194762,6.457612586306125,0.01651563321305914,224.015857027898,2.490910196752016,1.0731539894681634,11.041857289738285,0.32023376977858203,4.362412736056836,0.6727222830991884,0.16521169836831587
WBD2BC3,0.03154737144922168,0.7803414265982183,0.2267884494109092,6.826208567772355,1.5289211068104174,0.2267884494109092,1.0421597787721306,1.3083954235322754,50.512007916876286,0.4243831373385802,18,4,30.717938554975596,0.15328312652183432,4.689719004474588,0.020398951737601513,1.0205480223490915,0.008399572200404045,6.880144980646878,0.01759627872288204,227.3040356259433,2.527472597768087,1.0205480223490915,7.803414265982182,0.3154737144922168,5.887779405895239,1.9097241180236109,0.19967792918272192
WBD2Bs1,0.0528763806684186,0.1639734021237041,0.7088606246758969,17.520048063765636,4.277223150996644,0.7088606246758969,2.612043542935087,3.3419537697754853,73.9347156091049,1.059194541142126,18,4,78.84021628694536,0.3934142529288691,11.754195943207892,0.051127429070064775,3.1898728110415364,0.02625409721021841,19.2475041794849,0.04922635340021713,332.706220240972,3.699476133146464,3.1898728110415364,1.6397340212370408,0.5287638066841861,15.038791963989684,4.766375435139567,0.5200221326093695
WBD2Bs2,0.04769533086056416,-0.08576500382917128,0.11640936875852394,3.9473729425117385,1.205986397323755,0.11640936875852394,0.7965618914162192,2.120728904969285,33.376606674855964,0.042857404798574916,18,4,17.763178241302825,0.08863861397855702,3.584528511372987,0.015591685564910774,0.5238421594133578,0.004311458102167554,5.426938787956898,0.013879638843879532,150.19473003685187,1.6700674207211104,0.5238421594133578,-0.8576500382917128,0.4769533086056416,9.543280072361783,0.19285832159358712,0.12242139648951487
