pedon.x,orig_horizon,subdivision,horizon.x,top cm,base cm,thick,major_color,hue,value,chroma,minor_color,depletion,concentration,texture_modifier,texture_base,structure,consistence,boundary,frags,roots,sample collected,elemental,name,type,CN_id,pedon.y,horizon.y,N_pct,C_pct,CNRatio,CN_type,om_pct,om,bd
52_4_PFM,Bh2,NA,Bh2,32,63,31,10YR3/2,10YR,3,2,0,NA,NA,NA,sl,2msbk,fr,cs,2,f,Y,Y,52_4_PFM_Bh2,sample,52.4_Bh2,52_4_PFM,Bh2,0.202262,3.992686,19.74019,Min.Soil,6.883390664,0.06883390664,0.792199184396419
52_4_X4.1,Oa,NA,Oa,9,16,7,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,1mgr,NA,ab,0,NA,Y,Y,52_4_X4.1_Oa,sample,X4.1_Oa,52_4_X4.1,Oa,0.525917,11.54272,21.94779,Min.Soil,19.89964928,0.19899649279999998,0.42640697308379866
52_4_X4.1,E,NA,E,16,26,10,7.5YR4/2,7.5YR,4,2,7.5YR3/2,NA,NA,NA,sl,2msbk,fr,aw,2,f,Y,Y,52_4_X4.1_E,sample,X4.1_E,52_4_X4.1,E,0.05509,0.981546,17.81717,Min.Soil,1.6921853040000001,0.01692185304,1.2041895361443493
52_4_X4.1,Bhs,NA,Bhs,26,31,5,7.5YR2.5/1,7.5YR,2.5,1,0,NA,NA,NA,sl,2msbk,fr,aw,5,f,Y,Y,52_4_X4.1_Bhs,sample,X4.1_Bhs,52_4_X4.1,Bhs,0.264091,5.248801,19.87494,Min.Soil,9.048932924,0.09048932924000001,0.6932563182736972
52_4_X4.1,Bs1,NA,Bs1,31,36,5,7.5YR3/4,7.5YR,3,4,"7.5YR2.5/1, 7.5YR4/6",NA,NA,NA,sl,2msbk,fi,cw,10,NA,Y,Y,52_4_X4.1_Bs1,sample,X4.1_Bs1,52_4_X4.1,Bs1,0.187884,4.672497,24.86901,Min.Soil,8.055384828,0.08055384827999999,0.7353962408498602
52_4_X4.1,Bs2,1,Bs2.1,36,45,9,7.5YR2.5/2,7.5YR,2.5,2,7.5YR3/3,NA,NA,NA,sl,2msbk,fr,cs,5,NA,Y,Y,52_4_X4.1_Bs2.1,sample,X4.1_Bs2.1,52_4_X4.1,Bs2.1,0.228905,5.914241,25.83715,Min.Soil,10.196151484,0.10196151483999999,0.6502334924397639
52_4_X4.1,Bs2,2,Bs2.2,45,54.5,9.5,7.5YR2.5/2,7.5YR,2.5,2,7.5YR3/3,NA,NA,NA,sl,2msbk,fr,cs,5,NA,Y,Y,52_4_X4.1_Bs2.2,sample,X4.1_Bs2.2,52_4_X4.1,Bs2.2,0.203293,5.014555,24.6666,Min.Soil,8.645092819999999,0.08645092819999999,0.7097881751720538
52_4_X4.1,BC,1,BC.1,54.5,62,7.5,10YR3/4,10YR,3,4,2.5Y4/4,NA,NA,NA,sl,2msbk,fr,NA,25,NA,Y,Y,52_4_X4.1_BC.1,sample,X4.1_BC1,52_4_X4.1,BC.1,0.129888,2.580878,19.87011,Min.Soil,4.449433672,0.04449433672,0.943557073243391
52_4_X4.1,BC,2,BC.2,62,69,7,10YR3/4,10YR,3,4,2.5Y4/4,NA,NA,NA,sl,2msbk,fr,NA,25,NA,Y,Y,52_4_X4.1_BC.2,sample,X4.1_BC2,52_4_X4.1,BC.2,0.114135,2.344591,20.54233,Min.Soil,4.042074884,0.04042074884,0.9747256710188394
52_4_X4.1,D,3,D.3,109,111,2,10YR5/2,10YR,5,2,0,NA,NA,vgr,s,NA,NA,NA,NA,NA,Y,Y,52_4_X4.1_D.3,sample,X4.1_D1,52_4_X4.1,D.3,0.020958,0.434117,20.71335,Min.Soil,0.748417708,0.0074841770799999995,1.3299310333341698
